2023-05-27 20:51:58,077 INFO    MainThread:1907040 [wandb_setup.py:_flush():76] Current SDK version is 0.15.3
2023-05-27 20:51:58,078 INFO    MainThread:1907040 [wandb_setup.py:_flush():76] Configure stats pid to 1907040
2023-05-27 20:51:58,078 INFO    MainThread:1907040 [wandb_setup.py:_flush():76] Loading settings from /home/seobyl/.config/wandb/settings
2023-05-27 20:51:58,078 INFO    MainThread:1907040 [wandb_setup.py:_flush():76] Loading settings from /nas/home/seobyl/CV_project/wandb/settings
2023-05-27 20:51:58,078 INFO    MainThread:1907040 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-05-27 20:51:58,078 INFO    MainThread:1907040 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-05-27 20:51:58,078 INFO    MainThread:1907040 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'fortmux.py', 'program': '/nas/home/seobyl/CV_project/fortmux.py'}
2023-05-27 20:51:58,078 INFO    MainThread:1907040 [wandb_init.py:_log_setup():507] Logging user logs to /nas/home/seobyl/CV_project/wandb/run-20230527_205158-mcq0whxx/logs/debug.log
2023-05-27 20:51:58,078 INFO    MainThread:1907040 [wandb_init.py:_log_setup():508] Logging internal logs to /nas/home/seobyl/CV_project/wandb/run-20230527_205158-mcq0whxx/logs/debug-internal.log
2023-05-27 20:51:58,078 INFO    MainThread:1907040 [wandb_init.py:init():547] calling init triggers
2023-05-27 20:51:58,078 INFO    MainThread:1907040 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'video_length': 50, 'img_size': 128, 'epoch': 10, 'learning_rate': 0.0003, 'batch_size': 64, 'seed': 2023}
2023-05-27 20:51:58,078 INFO    MainThread:1907040 [wandb_init.py:init():596] starting backend
2023-05-27 20:51:58,078 INFO    MainThread:1907040 [wandb_init.py:init():600] setting up manager
2023-05-27 20:51:58,080 INFO    MainThread:1907040 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-05-27 20:51:58,082 INFO    MainThread:1907040 [wandb_init.py:init():606] backend started and connected
2023-05-27 20:51:58,084 INFO    MainThread:1907040 [wandb_init.py:init():700] updated telemetry
2023-05-27 20:51:58,084 INFO    MainThread:1907040 [wandb_init.py:init():737] communicating run to backend with 60.0 second timeout
2023-05-27 20:51:58,721 INFO    MainThread:1907040 [wandb_run.py:_on_init():2177] communicating current version
2023-05-27 20:51:58,912 INFO    MainThread:1907040 [wandb_run.py:_on_init():2186] got version response 
2023-05-27 20:51:58,913 INFO    MainThread:1907040 [wandb_init.py:init():787] starting run threads in backend
2023-05-27 20:52:05,756 INFO    MainThread:1907040 [wandb_run.py:_console_start():2158] atexit reg
2023-05-27 20:52:05,756 INFO    MainThread:1907040 [wandb_run.py:_redirect():2013] redirect: SettingsConsole.WRAP_RAW
2023-05-27 20:52:05,756 INFO    MainThread:1907040 [wandb_run.py:_redirect():2078] Wrapping output streams.
2023-05-27 20:52:05,756 INFO    MainThread:1907040 [wandb_run.py:_redirect():2103] Redirects installed.
2023-05-27 20:52:05,757 INFO    MainThread:1907040 [wandb_init.py:init():829] run started, returning control to user process
2023-05-27 20:53:23,087 WARNING MsgRouterThr:1907040 [router.py:message_loop():77] message_loop has been closed
